#VectorSizeSFlopPerSInstructionsL1CacheMissesLLCacheMissesL1CacheMisses/InstructionLLCacheMisses/Instruction
50 3.814507501513e-08 2.5953547073e+09 162372994 203 1 1.25021e-06 6.15866e-09
62 4.191691832160e-08 2.9343760211e+09 151252997 47 0 3.10738e-07 0.00000e+00
77 4.545412296152e-08 3.3660312867e+09 130825432 52 0 3.97476e-07 0.00000e+00
96 4.715013297641e-08 4.0508899539e+09 105278316 30 0 2.84959e-07 0.00000e+00
120 5.698941475127e-08 4.1937612633e+09 101619396 27 0 2.65697e-07 0.00000e+00
150 6.725332826342e-08 4.4458766238e+09 94329240 51 0 5.40660e-07 0.00000e+00
187 7.246532206183e-08 5.1472896192e+09 87892434 28 0 3.18571e-07 0.00000e+00
233 8.621271569000e-08 5.3936359188e+09 80353411 21 0 2.61345e-07 0.00000e+00
291 9.147990726430e-08 6.3511214361e+09 74700272 30 0 4.01605e-07 0.00000e+00
363 1.156146616130e-07 6.2708309646e+09 72390038 59 0 8.15029e-07 0.00000e+00
453 1.306220095694e-07 6.9283882784e+09 68322338 53 0 7.75735e-07 0.00000e+00
566 1.719502613330e-07 6.5774834608e+09 66098673 89 0 1.34647e-06 0.00000e+00
707 1.965436313207e-07 7.1892433782e+09 63649698 76 0 1.19404e-06 0.00000e+00
883 2.372361969729e-07 7.4398427496e+09 62109078 185 0 2.97863e-06 0.00000e+00
1103 3.077588789402e-07 7.1646998702e+09 61408129 522 0 8.50050e-06 0.00000e+00
1378 3.501892127916e-07 7.8671755136e+09 59781078 964 0 1.61255e-05 0.00000e+00
1722 4.340054042819e-07 7.9330809387e+09 59310246 98956 0 1.66845e-03 0.00000e+00
2152 7.041366322488e-07 6.1110298810e+09 55251851 4925965 0 8.91548e-02 0.00000e+00
2690 3.401980680250e-06 1.5811377270e+09 39115157 663216 104219 1.69555e-02 2.66441e-03
3362 3.398295627473e-06 1.9783446577e+09 35058692 553173 91677 1.57785e-02 2.61496e-03
4202 3.264392594471e-06 2.5741389115e+09 31982077 461803 59117 1.44394e-02 1.84844e-03
5252 3.388114104596e-06 3.0999546284e+09 26991779 733225 55497 2.71648e-02 2.05607e-03
6565 3.809033280507e-06 3.4468063241e+09 24481073 1285570 57379 5.25128e-02 2.34381e-03
8206 3.777172567467e-06 4.3447842816e+09 21266972 2080389 39144 9.78225e-02 1.84060e-03
10257 4.423398328691e-06 4.6373847607e+09 19887013 2447253 61422 1.23058e-01 3.08855e-03
12821 4.540425531915e-06 5.6472680412e+09 18694150 2410897 34896 1.28965e-01 1.86668e-03
16026 4.641682785300e-06 6.9050388582e+09 17385646 2362353 23841 1.35880e-01 1.37130e-03
20032 5.983685800604e-06 6.6953716046e+09 10112435 258226 11869 2.55355e-02 1.17370e-03
25040 6.101208459215e-06 8.2080460510e+09 8676340 352833 8366 4.06661e-02 9.64231e-04
31300 6.378659112370e-06 9.8138180607e+09 7496696 558498 7382 7.44992e-02 9.84700e-04
39125 6.558441558442e-06 1.1931035644e+10 6673179 658032 5657 9.86085e-02 8.47722e-04
48906 6.796460176991e-06 1.4391462240e+10 6039373 643850 3310 1.06609e-01 5.48070e-04
61132 7.092081031308e-06 1.7239368735e+10 5460889 628309 3618 1.15056e-01 6.62529e-04
76415 7.405529953917e-06 2.0637145613e+10 4984389 608037 2970 1.21988e-01 5.95860e-04
95518 7.890489913545e-06 2.4210790723e+10 4678897 591210 2547 1.26357e-01 5.44359e-04
119397 8.377697841727e-06 2.8503415200e+10 4393938 580837 1691 1.32191e-01 3.84848e-04
149246 9.385650224215e-06 3.1802911132e+10 3997764 542168 1429 1.35618e-01 3.57450e-04
186557 1.027528089888e-05 3.6311708037e+10 3457490 459784 1100 1.32982e-01 3.18150e-04
233196 1.132867132867e-05 4.1169082099e+10 3273609 453214 863 1.38445e-01 2.63623e-04
291495 1.312280701754e-05 4.4425632353e+10 3037740 442223 715 1.45576e-01 2.35372e-04
364368 1.591208791209e-05 4.5797572514e+10 3017262 435732 801 1.44413e-01 2.65472e-04
455460 2.068493150685e-05 4.4037805960e+10 2905426 432109 587 1.48725e-01 2.02036e-04
569325 2.508474576271e-05 4.5392088514e+10 2909052 433046 459 1.48862e-01 1.57783e-04
711656 2.987234042553e-05 4.7646450855e+10 2859026 428781 497 1.49975e-01 1.73835e-04
889570 3.536842105263e-05 5.0303037202e+10 2848369 431436 342 1.51468e-01 1.20069e-04
1111962 4.250000000000e-05 5.2327600000e+10 2775045 424506 261 1.52973e-01 9.40525e-05
1389952 5.154166666667e-05 5.3935062247e+10 2755262 423452 236 1.53688e-01 8.56543e-05
