#VectorSizeSFlopPerSInstructionsL1CacheMissesLLCacheMissesL1CacheMisses/InstructionLLCacheMisses/Instruction
50 2.703954684617e-08 3.6613039621e+09 92782865 25 0 2.69446e-07 0.00000e+00
62 3.429242864787e-08 3.5867975775e+09 84445243 1 0 1.18420e-08 0.00000e+00
77 4.270052469408e-08 3.5830941445e+09 77032181 3 0 3.89448e-08 0.00000e+00
96 3.544009687868e-08 5.3893757868e+09 70070563 4 0 5.70853e-08 0.00000e+00
120 4.264881092493e-08 5.6039077015e+09 65997460 13 0 1.96977e-07 0.00000e+00
150 5.610856860908e-08 5.3289543364e+09 64064430 3 0 4.68279e-08 0.00000e+00
187 6.327242356181e-08 5.8951432394e+09 61312132 5 0 8.15499e-08 0.00000e+00
233 7.407641789366e-08 6.2773013764e+09 58736274 7 0 1.19177e-07 0.00000e+00
291 8.468280174231e-08 6.8608972312e+09 57163982 7 0 1.22455e-07 0.00000e+00
363 1.087242293451e-07 6.6682468514e+09 55684698 13 0 2.33457e-07 0.00000e+00
453 1.300615174299e-07 6.9582457431e+09 54350688 32 0 5.88769e-07 0.00000e+00
566 1.676288730229e-07 6.7470476870e+09 53511282 50 0 9.34382e-07 0.00000e+00
707 2.061659910390e-07 6.8537007141e+09 52775858 81 0 1.53479e-06 0.00000e+00
883 2.817096567896e-07 6.2653159289e+09 52164159 161 0 3.08641e-06 0.00000e+00
1103 3.291282495090e-07 6.6995160801e+09 51674198 284 0 5.49597e-06 0.00000e+00
1378 4.331101592714e-07 6.3609683149e+09 51268442 946 0 1.84519e-05 0.00000e+00
1722 5.107565994596e-07 6.7409799573e+09 50958350 2073 0 4.06803e-05 0.00000e+00
2152 8.652509903240e-07 4.9731234614e+09 50616754 4419660 0 8.73161e-02 0.00000e+00
2690 1.385664420813e-06 3.8818922671e+09 50508145 8352184 0 1.65363e-01 0.00000e+00
3362 1.731662777721e-06 3.8823956295e+09 50349801 8343766 0 1.65716e-01 0.00000e+00
4202 2.162186152676e-06 3.8863443786e+09 50218294 8334849 0 1.65972e-01 0.00000e+00
5252 2.709191759113e-06 3.8768019889e+09 50082716 8326336 0 1.66252e-01 0.00000e+00
6565 3.408280507132e-06 3.8520890439e+09 50030974 8321841 0 1.66334e-01 0.00000e+00
8206 4.435503837584e-06 3.6999178900e+09 49978832 8325734 0 1.66585e-01 0.00000e+00
10257 5.445063447849e-06 3.7672655602e+09 49915965 8309096 0 1.66462e-01 0.00000e+00
12821 7.038297872340e-06 3.6430683192e+09 49877821 8309331 0 1.66594e-01 0.00000e+00
16026 9.201644100580e-06 3.4831818803e+09 49847320 8300776 0 1.66524e-01 0.00000e+00
20032 1.264169184290e-05 3.1691169582e+09 49827334 8352316 0 1.67625e-01 0.00000e+00
25040 1.667824773414e-05 3.0026535640e+09 49807807 8345275 0 1.67550e-01 0.00000e+00
31300 2.149008498584e-05 2.9129247298e+09 49782781 8339373 0 1.67515e-01 0.00000e+00
39125 2.690082644628e-05 2.9087953917e+09 49762347 8335265 0 1.67501e-01 0.00000e+00
48906 3.364454277286e-05 2.9071876726e+09 49781724 8339206 0 1.67515e-01 0.00000e+00
61132 4.204419889503e-05 2.9079636005e+09 49824301 8347701 0 1.67543e-01 0.00000e+00
76415 5.255069124424e-05 2.9082205463e+09 49774844 8339112 0 1.67537e-01 0.00000e+00
95518 6.568299711816e-05 2.9084391453e+09 49739924 8333148 0 1.67534e-01 0.00000e+00
119397 8.217985611511e-05 2.9057364090e+09 49806454 8347760 0 1.67604e-01 0.00000e+00
149246 1.035829596413e-04 2.8816612407e+09 49937533 8376767 0 1.67745e-01 0.00000e+00
186557 1.300674157303e-04 2.8686123877e+09 49822274 8359757 0 1.67792e-01 0.00000e+00
233196 1.625804195804e-04 2.8686787819e+09 50029230 8393625 0 1.67774e-01 0.00000e+00
291495 2.032280701754e-04 2.8686440780e+09 49853364 8363968 0 1.67771e-01 0.00000e+00
364368 2.506923076923e-04 2.9068901504e+09 49741851 8339910 0 1.67664e-01 0.00000e+00
455460 3.142054794521e-04 2.8991187601e+09 49877428 8363828 0 1.67688e-01 0.00000e+00
569325 3.920508474576e-04 2.9043401064e+09 50389260 8447866 0 1.67652e-01 0.00000e+00
711656 4.883404255319e-04 2.9145877048e+09 50174772 8410551 0 1.67625e-01 0.00000e+00
889570 6.079736842105e-04 2.9263421201e+09 50708212 8497680 15 1.67580e-01 2.95810e-07
1111962 7.624000000000e-04 2.9170028856e+09 50040492 8386729 6132 1.67599e-01 1.22541e-04
1389952 9.983333333333e-04 2.7845439065e+09 50039941 8385145 355359 1.67569e-01 7.10151e-03
